feature,module,selected_train_only,nonzero_count,nonzero_pct,mean,median,max,missing_count
ont_InteligenciaArtificial_Positivo,ai,False,213,13.197026022304833,0.1976456009913259,0.0,12.0,0
ont_InteligenciaArtificial_Negativo,ai,True,125,7.744733581164807,0.09293680297397769,0.0,4.0,0
ont_InteligenciaArtificial_Neutro,ai,False,770,47.70755885997522,0.8816604708798017,0.0,37.0,0
ont_AprendizajeAutomatico_Positivo,ml,False,12,0.7434944237918215,0.00929368029739777,0.0,3.0,0
ont_AprendizajeAutomatico_Negativo,ml,False,4,0.24783147459727387,0.004337050805452293,0.0,4.0,0
ont_AprendizajeAutomatico_Neutro,ml,False,29,1.7967781908302356,0.036555142503097895,0.0,18.0,0
ont_Tecnologia_Positivo,technology,False,38,2.3543990086741013,0.027261462205700124,0.0,3.0,0
ont_Tecnologia_Negativo,technology,False,17,1.0532837670384139,0.010532837670384139,0.0,1.0,0
ont_Tecnologia_Neutro,technology,False,187,11.586121437422554,0.16294919454770757,0.0,11.0,0
ont_Futuro_Positivo,future,False,29,1.7967781908302356,0.020446096654275093,0.0,2.0,0
ont_Futuro_Negativo,future,False,7,0.43370508054522927,0.004337050805452293,0.0,1.0,0
ont_Futuro_Neutro,future,False,130,8.054522924411401,0.10161090458488228,0.0,5.0,0
ont_Datos_Positivo,data,False,32,1.982651796778191,0.024163568773234202,0.0,3.0,0
ont_Datos_Negativo,data,True,25,1.5489467162329618,0.01734820322180917,0.0,3.0,0
ont_Datos_Neutro,data,False,189,11.71003717472119,0.1536555142503098,0.0,6.0,0
ont_Algoritmo_Positivo,algorithm,False,4,0.24783147459727387,0.0037174721189591076,0.0,3.0,0
ont_Algoritmo_Negativo,algorithm,False,3,0.18587360594795538,0.0018587360594795538,0.0,1.0,0
ont_Algoritmo_Neutro,algorithm,False,15,0.929368029739777,0.019206939281288724,0.0,12.0,0
ont_Robot_Positivo,robot,False,22,1.3630731102850062,0.016728624535315983,0.0,4.0,0
ont_Robot_Negativo,robot,True,15,0.929368029739777,0.011152416356877323,0.0,2.0,0
ont_Robot_Neutro,robot,False,100,6.195786864931847,0.10037174721189591,0.0,8.0,0
ont_Automatizacion_Positivo,automation,False,9,0.5576208178438662,0.006195786864931847,0.0,2.0,0
ont_Automatizacion_Negativo,automation,False,3,0.18587360594795538,0.0018587360594795538,0.0,1.0,0
ont_Automatizacion_Neutro,automation,False,42,2.6022304832713754,0.04399008674101611,0.0,7.0,0
ont_Etica_Positivo,ethics,False,40,2.478314745972739,0.03717472118959108,0.0,14.0,0
ont_Etica_Negativo,ethics,False,2,0.12391573729863693,0.0018587360594795538,0.0,2.0,0
ont_Etica_Neutro,ethics,False,22,1.3630731102850062,0.016728624535315983,0.0,3.0,0
ont_Innovacion_Positivo,innovation,True,25,1.5489467162329618,0.0161090458488228,0.0,2.0,0
ont_Innovacion_Negativo,innovation,False,0,0.0,0.0,0.0,0.0,0
ont_Innovacion_Neutro,innovation,False,22,1.3630731102850062,0.01486988847583643,0.0,2.0,0
ont_has_ontology_elements,global_counts,False,1489,92.25526641883519,0.9225526641883519,1.0,1.0,0
ont_count_domain_concepts,global_counts,False,1408,87.2366790582404,1.2936802973977695,1.0,9.0,0
ont_total_positivo_mentions,global_counts,True,330,20.44609665427509,0.3587360594795539,0.0,29.0,0
ont_total_negativo_mentions,global_counts,True,176,10.90458488228005,0.14622057001239158,0.0,5.0,0
ont_total_neutro_mentions,global_counts,False,1137,70.4460966542751,1.5315985130111525,1.0,47.0,0
ont_domain_score,global_counts,False,1408,87.2366790582404,1.9182156133828996,1.0,47.0,0
ont_domain_density,global_counts,True,1408,87.2366790582404,0.06269590859860125,0.058823529411764705,0.375,0
